"THE_COUNTY","year","month","total_prcp","tmax","tmin"
"SANTA CRUZ",1996,10,40.6193826400963,23.5543495080896,8.08251874739905
"SANTA CRUZ",1996,11,153.734624814284,18.771130883529,6.92792805691155
"SANTA CRUZ",1996,12,307.884709970603,15.9027322735332,6.60860488869236
"SANTA CRUZ",1997,1,288.244136548528,15.4412610144253,6.00017503265323
"SANTA CRUZ",1997,2,5.68680115336355,18.1335558180911,4.84031921333471
"SANTA CRUZ",1997,3,22.3928526331438,21.0220130477767,5.47495855236494
"SANTA CRUZ",1997,4,15.5931104333556,22.1828653949282,7.26701796388731
"SANTA CRUZ",1997,5,4.02601394338969,26.5544159573945,10.0845258435372
"SANTA CRUZ",1997,6,5.43468594572918,24.5948806708279,10.5221882218301
"SANTA CRUZ",1997,7,0,25.7148813451456,12.0745656900103
"SANTA CRUZ",1997,8,12.9258792195928,27.0025397557233,13.1229724423319
"SANTA CRUZ",1997,9,0,28.6453826670278,12.559536679125
"SANTA CRUZ",1997,10,19.8542955399691,24.2324336346425,8.79305151694494
"SANTA CRUZ",1997,11,226.865427416345,19.616266534444,8.51317734218802
"SANTA CRUZ",1997,12,90.6748059186773,16.3050945732865,4.37600893516544
"SANTA CRUZ",1998,1,344.268156745069,15.9012140265088,7.0919175849119
"SANTA CRUZ",1998,2,485.375096490824,14.812210209794,6.52675801021453
"SANTA CRUZ",1998,3,115.666394058074,18.0822672944648,6.94004097328073
"SANTA CRUZ",1998,4,79.3889343687024,19.2323524643536,6.92431489360462
"SANTA CRUZ",1998,5,96.9330027486598,19.1371943617746,8.65259532296198
"SANTA CRUZ",1998,6,2.23496484517404,21.749919271691,11.518871358696
"SANTA CRUZ",1998,7,0,24.9232782202559,12.6413307908594
"SANTA CRUZ",1998,8,0,27.5692476781888,12.9097174855105
"SANTA CRUZ",1998,9,2.14407462679921,25.0105400469067,12.678612442033
"SANTA CRUZ",1998,10,20.609360576919,22.5402617721728,7.86608993958631
"SANTA CRUZ",1998,11,126.865777064192,17.4678524941704,6.56979081346789
"SANTA CRUZ",1998,12,41.3949989075748,14.6127230369206,1.92510042987821
"SANTA CRUZ",1999,1,168.481910873493,15.597010750015,4.50975048013222
"SANTA CRUZ",1999,2,196.479117267127,14.667780241567,3.69787188593798
"SANTA CRUZ",1999,3,102.652947765836,14.5656163371089,3.93480341908409
"SANTA CRUZ",1999,4,62.9572662735382,17.9824166223166,5.53046154899808
"SANTA CRUZ",1999,5,1.63413895059282,19.664847593559,6.77556088300176
"SANTA CRUZ",1999,6,2.92722227490954,22.7119413116797,9.24328393791095
"SANTA CRUZ",1999,7,0,24.882252615398,10.9932005649603
"SANTA CRUZ",1999,8,0.275116189120792,25.151368944694,11.8054837754273
"SANTA CRUZ",1999,9,4.44406279706727,25.3855690441404,11.6365388565467
"SANTA CRUZ",1999,10,5.21701215168413,25.6568836442491,9.3023810145383
"SANTA CRUZ",1999,11,92.503108292011,18.754106835052,7.69861111161937
"SANTA CRUZ",1999,12,11.3069301566972,17.2944444542853,3.69644800460451
"SANTA CRUZ",2000,1,283.905268569519,14.5782192345297,5.65667276250325
"SANTA CRUZ",2000,2,347.624152478362,15.0286193291371,6.79842067539747
"SANTA CRUZ",2000,3,70.8046562516112,17.7903667653566,5.50970503664271
"SANTA CRUZ",2000,4,36.6857782840907,20.6996131048702,7.22002323035197
"SANTA CRUZ",2000,5,25.9625625376618,22.6378906962679,9.05134830776643
"SANTA CRUZ",2000,6,4.64310721241209,24.4394819870658,11.1719161940602
"SANTA CRUZ",2000,7,0,24.4705472718465,10.8410236670356
"SANTA CRUZ",2000,8,2.39809510393918,25.5724302835036,11.6691921764339
"SANTA CRUZ",2000,9,6.91657576492915,25.8605108383574,11.3745932926969
"SANTA CRUZ",2000,10,105.803584664933,20.5704988390359,9.4461569077349
"SANTA CRUZ",2000,11,24.5359946189273,16.77751148388,3.89609259875577
"SANTA CRUZ",2000,12,22.6249259319824,17.2997756870303,4.97311981972049
"SANTA CRUZ",2001,1,161.355573198311,15.0911419839473,2.42028977530815
"SANTA CRUZ",2001,2,208.939434047324,14.9896951541085,4.30425688944195
"SANTA CRUZ",2001,3,73.767211924694,19.0326494875805,6.79684305811946
"SANTA CRUZ",2001,4,48.0561465790649,17.7231943633531,5.0526467585519
"SANTA CRUZ",2001,5,0,25.8956319608925,9.7355134818718
"SANTA CRUZ",2001,6,0.548423174025379,26.7647842023865,9.78799491566369
"SANTA CRUZ",2001,7,0,24.3017418460056,12.239489719285
"SANTA CRUZ",2001,8,0.359743623406359,26.0048102764836,11.0312982671041
"SANTA CRUZ",2001,9,2.75631314603834,24.8631956902052,10.6191817826707
"SANTA CRUZ",2001,10,16.3054136814342,23.56556398622,9.40836811796434
"SANTA CRUZ",2001,11,193.111945277141,18.4500024025452,7.12951428596859
"SANTA CRUZ",2001,12,328.276575084746,13.9846069416595,4.90042447857549
"SANTA CRUZ",2002,1,63.9006228669812,14.5122058752147,1.8766686152627
"SANTA CRUZ",2002,2,60.8936652172747,18.7647850681257,4.23941788447765
"SANTA CRUZ",2002,3,73.4187945155078,18.0467874535514,4.31296420729283
"SANTA CRUZ",2002,4,8.35748329640777,18.4793843031067,6.60931465646772
"SANTA CRUZ",2002,5,13.9832083701479,20.8386610692659,7.53689835550034
"SANTA CRUZ",2002,6,0,24.562105588972,9.25572762167731
"SANTA CRUZ",2002,7,0,25.1935556154189,10.9537254086871
"SANTA CRUZ",2002,8,0.908029754927016,25.4473726484074,11.2219317987146
"SANTA CRUZ",2002,9,0,26.3516957167346,11.0634031578665
"SANTA CRUZ",2002,10,0,22.4651002239156,7.95684525836859
"SANTA CRUZ",2002,11,104.493077681133,20.7069644595161,6.47789273756369
"SANTA CRUZ",2002,12,385.845811289942,14.8835382033663,5.19091116831744
"SANTA CRUZ",2003,1,37.0241180712291,18.8483994112509,7.0268305919088
"SANTA CRUZ",2003,2,60.0128849082768,16.7283111021493,4.20334413705139
"SANTA CRUZ",2003,3,43.0632550701445,19.2222076802182,5.25181981339938
"SANTA CRUZ",2003,4,111.728310311978,16.8682626993227,5.53010991743743
"SANTA CRUZ",2003,5,24.0860683896456,22.2273719587919,8.29424301591316
"SANTA CRUZ",2003,6,0.484892360008202,24.3218151766077,10.4479125736462
"SANTA CRUZ",2003,7,0,27.2213828781368,11.9316494075047
"SANTA CRUZ",2003,8,0.096961864194659,26.7138472898486,12.2987952747835
